TRACT,ZIP,RES_RATIO,IMPACTED
36005000200,10473,1,FALSE
36005000400,10473,1,FALSE
36005001600,10473,1,FALSE
36005001900,10454,1,FALSE
36005002000,10473,1,FALSE
36005002300,10454,1,FALSE
36005002500,10454,1,FALSE
36005002701,10454,1,FALSE
36005002702,10454,1,FALSE
36005002800,10473,1,FALSE
36005003100,10455,1,FALSE
36005003300,10454,1,FALSE
36005003500,10455,0.968658892128279,FALSE
36005003700,10455,1,FALSE
36005003800,10473,1,FALSE
36005003900,10454,1,FALSE
36005004001,10472,1,FALSE
36005004100,10454,1,FALSE
36005004200,10473,1,FALSE
36005004300,10455,0.719829424307036,FALSE
36005004400,10472,1,FALSE
36005004600,10473,1,FALSE
36005004800,10472,1,FALSE
36005005001,10472,1,FALSE
36005005002,10472,1,FALSE
36005005100,10451,0.999501743896362,FALSE
36005005200,10472,1,FALSE
36005005300,10453,1,FALSE
36005005400,10472,1,FALSE
36005005600,10472,1,FALSE
36005005902,10451,1,FALSE
36005006000,10460,1,FALSE
36005006100,10451,1,FALSE
36005006200,10472,1,FALSE
36005006300,10451,0.975630611372381,FALSE
36005006400,10472,1,FALSE
36005006500,10451,0.964230171073094,FALSE
36005006700,10455,0.513523956723338,FALSE
36005006800,10472,1,FALSE
36005006900,10451,0.859520123839009,FALSE
36005007000,10472,1,FALSE
36005007100,10455,0.757319819819819,FALSE
36005007200,10472,1,FALSE
36005007300,10455,1,FALSE
36005007400,10473,1,FALSE
36005007500,10455,0.583958909521928,FALSE
36005007600,10472,1,FALSE
36005007700,10456,0.78,FALSE
36005007800,10472,1,FALSE
36005007900,10455,1,FALSE
36005008300,10455,1,FALSE
36005008400,10473,1,FALSE
36005008500,10455,0.913793103448275,FALSE
36005008600,10473,1,FALSE
36005008700,10459,1,FALSE
36005008900,10459,1,FALSE
36005009000,10473,0.931423611111111,FALSE
36005009200,10462,1,FALSE
36005009300,10474,1,FALSE
36005009600,10462,0.753993610223642,TRUE
36005009800,10473,1,FALSE
36005011000,10465,1,FALSE
36005011502,10474,1,FALSE
36005011700,10474,1,FALSE
36005011800,10465,1,FALSE
36005011900,10459,1,FALSE
36005012101,10459,1,FALSE
